,Car_Name,Supplier,Tier,Seats,Storage,Pickup,Price
0,Ford Focus,Thrifty,Compact,5,2,San Francisco International Airport,84.96
1,Ford Fusion,Thrifty,Full-Size,5,3,San Francisco International Airport,101.12
2,Ford Escape,Thrifty,Intermediate,5,3,San Francisco International Airport,101.50
3,Toyota Yaris,Fox,Economy,4,1,Metropolitan Oakland International Airport,57
4,Toyota Yaris,Fox Rent A Car,Economy,4,1,Metropolitan Oakland International Airport,71
5,Wild Card,Fox,Compact,5,2,Metropolitan Oakland International Airport,57
6,Nissan Versa,Fox,Compact,5,2,Metropolitan Oakland International Airport,58
7,Wild Card,Fox Rent A Car,Special,5,2,Metropolitan Oakland International Airport,72
8,Nissan Versa,Fox Rent A Car,Compact,5,2,Metropolitan Oakland International Airport,74
9,Volkswagen Jetta,Thrifty,Standard,5,2,Metropolitan Oakland International Airport,76.65
10,Ford Fiesta,Thrifty,Economy,4,1,Metropolitan Oakland International Airport,77.81
11,Ford Focus,Thrifty,Compact,5,2,Metropolitan Oakland International Airport,77.83
12,Ford Fusion,Thrifty,Full-Size,5,3,Metropolitan Oakland International Airport,79.82
13,Volkswagen Jetta,Thrifty Car Rental,Standard,5,2,Metropolitan Oakland International Airport,81
14,Ford Fiesta,Thrifty Car Rental,Economy,4,1,Metropolitan Oakland International Airport,82
15,Ford Focus,Thrifty Car Rental,Compact,5,2,Metropolitan Oakland International Airport,82
16,Buick Encore,Thrifty,Compact,5,3,Metropolitan Oakland International Airport,82.44
17,Ford Fusion,Thrifty Car Rental,Full-Size,5,3,Metropolitan Oakland International Airport,84
18,Ford Fiesta,Thrifty,Economy,4,1,San Francisco International Airport,84.90
19,Ford Fiesta,Thrifty Car Rental,Economy,4,1,San Francisco International Airport,84
20,Ford Focus,Thrifty Car Rental,Compact,5,2,San Francisco International Airport,84
21,Hyundai Accent,Payless,Economy,5,1,Metropolitan Oakland International Airport,85
22,Nissan Versa,Payless,Compact,5,2,Metropolitan Oakland International Airport,85
23,Volkswagen Jetta,Fox,Standard,5,2,Metropolitan Oakland International Airport,85
24,Jeep Renegade,Thrifty Car Rental,Compact,5,3,Metropolitan Oakland International Airport,87
25,Toyota Camry,Fox,Full-Size,5,3,Metropolitan Oakland International Airport,87
26,Toyota Corolla,Thrifty,Intermediate,5,2,San Francisco International Airport,90.23
27,Toyota Corolla,Thrifty Car Rental,Intermediate,5,2,San Francisco International Airport,90
28,Wild Card,Thrifty,Compact,5,2,Metropolitan Oakland International Airport,91.15
29,Wild Card,Thrifty Car Rental,Compact,5,2,Metropolitan Oakland International Airport,91
30,Dodge Charger,Fox,Full-Size,5,2,Metropolitan Oakland International Airport,91
31,Wild Card,Thrifty,Special,5,2,Metropolitan Oakland International Airport,94.82
32,Volkswagen Jetta,Thrifty,Standard,5,2,San Francisco International Airport,97.67
33,Wild Card,Thrifty Car Rental,Special,4,2,Metropolitan Oakland International Airport,99
34,Chrysler 300,Fox,Luxury,5,2,Metropolitan Oakland International Airport,100
35,Toyota Corolla,Fox,Intermediate,5,2,Metropolitan Oakland International Airport,101
36,Ford Escape,Thrifty Car Rental,Intermediate,5,3,San Francisco International Airport,101
37,Ford Eco Sport,Fox,Intermediate,5,3,Metropolitan Oakland International Airport,103
38,Buick Encore,Thrifty,Compact,5,3,San Francisco International Airport,104.00
39,Volkswagen Jetta,Thrifty Car Rental,Standard,5,2,San Francisco International Airport,104
40,Chrysler 200,Payless,Standard,5,2,Metropolitan Oakland International Airport,106
41,Ford Fusion,Thrifty Car Rental,Full-Size,5,3,San Francisco International Airport,107
42,Wild Card,Thrifty,Compact,5,2,San Francisco International Airport,108.32
43,Volkswagen Jetta,Fox Rent A Car,Standard,5,2,Metropolitan Oakland International Airport,109
44,Jeep Renegade,Thrifty Car Rental,Compact,5,3,San Francisco International Airport,111
45,Hyundai Sonata,Payless,Full-Size,5,3,Metropolitan Oakland International Airport,112
46,Toyota Camry,Fox Rent A Car,Full-Size,5,3,Metropolitan Oakland International Airport,112
47,Dodge Charger,Fox Rent A Car,Full-Size,5,2,Metropolitan Oakland International Airport,117
48,Hyundai Veloster,Hertz,Economy,4,1,Metropolitan Oakland International Airport,92
49,Nissan Versa,Hertz,Compact,5,2,Metropolitan Oakland International Airport,92
50,Toyota Corolla,Hertz,Intermediate,5,2,Metropolitan Oakland International Airport,95
51,Nissan Sentra,Dollar,Intermediate,5,2,Metropolitan Oakland International Airport,121.42
52,Wild Card,Dollar,Compact,5,2,Metropolitan Oakland International Airport,122.52
53,Hyundai Accent,Dollar,Compact,5,1,Metropolitan Oakland International Airport,124.17
54,Nissan Frontier,Alamo,Intermediate,5,4,Metropolitan Oakland International Airport,124
55,Kia e-Niro,Thrifty,Compact,5,3,Metropolitan Oakland International Airport,126.96
56,Kia e-Niro,Dollar,Compact,5,3,Metropolitan Oakland International Airport,126.96
57,Volkswagen Jetta,Dollar,Standard,5,2,Metropolitan Oakland International Airport,128.15
